,moving_time,timestamp,average_speed,average_temp,average_watts,suffer_score,kmeans_119
0,8189,1697536806.0,7.759,32.0,155.9,176.0,18
1,8033,1697350950.0,8.15,17.0,149.1,117.0,18
2,4925,1697270420.0,4.962,21.0,73.6,28.0,18
3,1432,1697268711.0,6.243,17.0,75.0,4.0,18
4,13563,1697178248.0,7.681,20.0,148.8,108.0,18
5,11934,1697090670.0,7.699,18.0,160.0,214.0,18
6,7518,1696762533.0,7.876,34.0,157.4,128.0,18
7,9733,1696573463.0,7.496,24.0,174.6,148.0,18
8,3368,1696494987.0,6.428,25.0,102.9,10.0,18
9,4970,1696412849.0,8.495,26.0,184.4,90.0,18
10,7072,1696329248.0,7.821,27.0,165.6,145.0,18
11,7730,1696141236.0,8.428,21.371531966224367,163.6,153.0,18
12,6250,1696002636.0,7.636,33.0,153.1,110.0,18
13,5188,1695880378.0,8.048,20.0,175.4,133.0,18
14,4212,1695747915.0,7.958,33.0,170.8,107.0,71
15,723,1695555663.0,4.93,33.0,81.3,3.0,71
16,1355,1695545668.0,3.62,27.0,30.7,5.0,71
17,4020,1695541558.0,9.941,22.0,249.9,211.0,71
18,427,1695540992.0,6.428,19.0,131.5,2.0,71
19,4662,1695397172.0,6.285,31.0,125.4,42.0,71
20,8293,1695187453.0,7.615,20.0,181.1,185.0,71
21,4143,1695018253.0,6.093,23.0,110.4,21.0,71
22,7371,1694930042.0,8.548,24.0,183.0,166.0,71
23,7840,1694845494.0,6.853,25.0,178.6,121.0,71
24,6941,1694761020.0,7.42,26.0,170.8,106.0,71
25,5154,1694592064.0,7.389,24.0,172.1,54.0,71
26,584,1694587918.0,6.571,21.0,159.9,7.0,71
27,6744,1694537189.0,6.309,31.0,132.2,68.0,71
28,4758,1694167149.0,7.271,37.0,162.3,76.0,71
29,4768,1693987115.0,7.039,30.0,167.4,63.0,71
30,4544,1693814537.0,7.368,30.0,158.0,43.0,105
31,8095,1693551495.0,7.278,26.0,167.0,105.0,105
32,4937,1693289745.0,6.809,30.0,145.2,51.0,105
