,moving_time,ride_count,training_plan
0,5205.5,8,1_1
1,2039.4545454545453,22,0_1
2,7700.1,10,0_0
3,7351.071428571428,14,0_1
4,9716.5,8,0_0
5,6663.818181818182,11,1_0
6,6114.642857142857,14,1_1
7,3906.0,7,0_0
8,4363.041666666667,24,0_0
9,4105.95,20,0_0
10,11289.57142857143,7,1_0
11,9407.727272727272,11,1_0
12,4783.625,8,0_0
13,3683.181818181818,11,1_1
14,4029.2413793103447,29,0_0
15,3402.1111111111118,9,0_0
16,4343.684210526316,19,1_0
17,6739.666666666667,9,1_1
18,7136.071428571428,14,1_1
19,3156.1875,16,1_0
20,4820.2,5,0_1
21,6707.583333333333,12,0_1
22,3330.0,6,0_0
23,4754.428571428572,7,0_0
24,7051.0,9,1_0
25,6246.071428571428,14,1_0
26,8151.333333333333,12,1_0
27,5552.416666666667,12,0_0
28,5186.238095238095,21,1_0
29,3466.2,10,1_0
30,1952.3333333333333,12,0_0
31,6636.0,8,1_0
32,3256.928571428572,14,0_0
33,4944.083333333333,12,1_0
34,2392.9,30,0_0
35,2204.875,8,0_0
36,2978.4444444444443,9,0_0
37,3952.25,12,1_1
38,8646.75,16,1_0
39,8466.25,8,1_1
40,6748.6,10,1_1
41,3587.4444444444443,9,0_0
42,4547.625,8,0_1
43,7645.5,12,0_0
44,1000.3333333333334,3,0_0
45,2773.909090909091,11,0_0
46,3970.0,1,0_0
47,3328.6,5,0_0
48,5455.666666666667,12,0_0
49,4156.714285714285,7,0_0
50,6948.833333333333,12,1_1
51,5920.375,16,1_1
52,4053.0,11,0_0
53,5094.75,4,0_0
54,4926.0,12,1_0
55,6094.142857142857,7,0_0
56,2201.153846153846,13,0_0
57,10714.333333333334,9,1_0
58,3804.3333333333335,12,1_0
59,2561.777777777778,18,1_0
60,4401.285714285715,7,0_0
61,7640.8,10,1_0
62,10350.25,16,1_0
63,5058.3125,16,1_0
64,3418.928571428572,14,1_1
65,1586.4545454545455,33,0_0
66,7370.388888888889,18,1_0
67,15246.5,6,0_0
68,5181.857142857143,14,1_1
69,3849.9,10,1_1
70,3962.5454545454554,11,0_0
71,4499.6875,16,1_1
72,6602.0,12,0_0
73,7952.714285714285,14,1_1
74,3690.8888888888887,18,0_0
75,5715.846153846154,13,1_1
76,8627.714285714286,14,1_0
77,5326.0,9,1_1
78,8289.235294117647,17,1_0
79,5830.571428571428,7,1_1
80,1035.3809523809523,21,0_0
81,6764.733333333334,15,0_1
82,8256.2,5,1_0
83,3914.692307692308,13,1_0
84,4993.142857142857,14,1_1
85,6802.8,10,0_1
86,8184.285714285715,14,0_1
87,2557.333333333333,9,0_0
88,4302.166666666667,12,1_1
89,11355.75,8,0_0
90,9111.90909090909,11,1_0
91,3434.333333333333,9,1_0
92,7500.384615384615,13,1_0
93,11817.5,6,0_0
94,8858.625,8,1_0
95,9101.666666666666,12,1_1
96,3806.642857142857,14,1_0
97,8957.8,10,1_0
98,2023.7142857142856,7,0_0
99,5467.888888888889,9,0_1
100,7170.4,5,0_0
101,2071.9,30,0_0
102,5014.875,24,1_0
103,4318.111111111111,9,1_1
104,2066.5714285714284,7,0_0
105,6929.0,10,1_1
106,11448.444444444443,9,1_0
107,1094.6666666666667,24,0_0
108,4488.666666666667,15,0_1
109,4469.090909090909,11,1_0
110,3826.142857142857,7,0_0
111,8133.727272727273,11,1_1
112,6920.428571428572,14,0_0
113,7073.2307692307695,13,0_0
114,3525.333333333333,9,1_1
115,4322.333333333333,12,0_0
116,9009.875,8,1_0
117,8490.777777777777,9,1_1
118,5471.133333333333,15,0_1
